.96 9506448
-0.83 10.51 3625352
-0.83 10.51 3631360
-0.84 10.51 3637356
-0.84 10.51 3643364
-0.84 10.52 3649364
-0.84 10.52 3655376
-0.83 10.54 3661380
-0.82 10.56 3667376
-0.81 10.58 3673376
-0.80 10.64 3679392
-0.80 10.74 3685400
-0.80 10.89 3691396
-0.80 11.04 3697392
-0.79 11.16 3703400
-0.77 11.23 3709404
-0.74 11.26 3715400
-0.73 11.26 3721404
-0.71 11.26 3727408
-0.70 11.26 3733404
-0.69 11.25 3738424
-0.68 11.26 3744404
-0.67 11.26 3750400
-0.66 11.25 3755416
-0.64 11.25 3761404
-0.61 11.24 3767408
-0.60 11.21 3773404
-0.58 11.17 3779408
-0.57 11.11 3785408
-0.55 11.07 3791412
-0.54 11.04 3797416
-0.54 11.00 3803412
-0.52 10.94 3809420
-0.49 10.87 3815416
-0.47 10.78 3821428
-0.46 10.67 3827432
-0.44 10.55 3833436
-0.43 10.43 3839432
-0.41 10.32 3845436
-0.40 10.23 3851444
-0.38 10.15 3857456
-0.37 10.09 3863452
-0.35 10.05 3869456
-0.33 10.02 3875456
-0.32 10.00 3881464
-0.30 9.96 3887472
-0.29 9.93 3892472
-0.28 9.89 3897476
-0.27 9.84 3902496
-0.25 9.77 3908472
-0.25 9.68 3913492
-0.23 9.59 3918496
-0.22 9.49 3923500
-0.21 9.38 3928508
-0.20 9.27 3933500
-0.19 9.16 3938504
-0.17 9.04 3944492
-0.16 8.94 3949500
-0.15 8.86 3955480
-0.13 8.81 3960500
-0.12 8.79 3965516
-0.10 8.79 3971496
-0.09 8.79 3976496
-0.08 8.79 3981496
-0.06 8.79 3986500
-0.05 8.79 3991496
-0.03 8.79 3996500
-0.02 8.79 4001496
-0.00 8.79 4006516
0.01 8.79 4011484
0.03 8.79 4016492
0.05 8.79 4021492
0.07 8.79 4026488
0.08 8.79 4031488
0.10 8.79 4036488
0.12 8.80 4041492
0.14 8.81 4046496
0.16 8.82 4051496
0.18 8.83 4056496
0.21 8.86 4061500
0.23 8.88 4066508
0.25 8.92 4071504
0.27 8.98 4076508
0.30 9.04 4081520
0.32 9.10 4086512
0.34 9.17 4091516
0.37 9.25 4096520
0.39 9.33 4101528
0.42 9.41 4106540
0.44 9.50 4111540
0.47 9.58 4116536
0.49 9.67 4121540
0.51 9.76 4126544
0.54 9.84 4131548
0.56 9.93 4136552
0.58 10.01 4141548
0.61 10.11 4147552
0.63 10.21 4153548
0.66 10.31 4159552
0.68 10.40 4165548
0.70 10.47 4170576
0.72 10.53 4176564
0.74 10.58 4182556
0.77 10.61 4188564
0.79 10.64 4194560
0.81 10.65 4200564
0.83 10.67 4206568
0.84 10.70 4212568
0.85 10.72 4217588
0.85 10.75 4223584
0.86 10.76 4229584
0.86 10.77 4235584
0.86 10.78 4240592
0.85 10.79 4246584
0.85 10.79 4252592
0.84 10.81 4258596
0.83 10.82 4264592
0.82 10.84 4270588
0.81 10.86 4275608
0.80 10.88 4281596
0.79 10.89 4286616
0.77 10.89 4292616
0.75 10.90 4298608
0.73 10.90 4304620
0.72 10.90 4309628
0.70 10.90 4314632
0.68 10.90 4319632
0.66 10.89 4325620
0.64 10.89 4331624
0.61 10.89 4336648
0.59 10.89 4342624
0.56 10.88 4348620
0.54 10.86 4353640
0.52 10.82 4359620
0.49 10.77 4365632
0.46 10.71 4371632
0.43 10.62 4377644
0.40 10.52 4383636
0.38 10.41 4389636
0.35 10.30 4395644
0.33 10.21 4400660
0.31 10.10 4406652
0.28 10.01 4412652
0.25 9.92 4418656
0.23 9.85 4423660
0.22 9.79 4428672
0.19 9.73 4433672
0.17 9.68 4438668
0.15 9.63 4443664
0.13 9.60 4448668
0.12 9.56 4453672
0.10 9.52 4458676
0.08 9.49 4463676
0.06 9.45 4468668
0.04 9.40 4473676
0.02 9.36 4478664
0.01 9.31 4483676
-0.01 9.25 4488692
-0.02 9.18 4493692
-0.04 9.12 4498700
-0.05 9.06 4503712
-0.06 9.01 4508724
-0.08 8.96 4514700
-0.10 8.92 4519712
-0.11 8.91 4524720
-0.13 8.91 4530704
-0.14 8.91 4535704
-0.15 8.91 4540704
-0.17 8.91 4545704
-0.18 8.91 4550712
-0.19 8.91 4555708
-0.20 8.91 4560712
-0.21 8.91 4565708
-0.22 8.91 4570716
-0.23 8.91 4575716
-0.23 8.91 4580720
-0.24 8.91 4585716
-0.25 8.91 4590716
-0.26 8.91 4595740
-0.27 8.92 4601716
-0.27 8.93 4606732
-0.28 8.95 4612724
-0.29 8.96 4617736
-0.29 8.99 4623728
-0.30 9.02 4628736
-0.30 9.05 4633736
