838219856
0.04 9.192820
0.54 11.31 7753476
0.54 11.35 7758728
0.54 11.39 7763688
0.54 11.42 7768856
0.54 11.46 7773908
0.54 11.50 7779084
0.54 11.54 7783944
0.54 11.58 7789108
0.54 11.62 7794064
0.54 11.66 7799316
0.54 11.70 7804572
0.54 11.74 7809560
0.54 11.78 7814812
0.54 11.82 7819848
0.54 11.86 7825092
0.54 11.91 7830112
0.54 11.95 7835344
0.54 12.00 7840584
0.54 12.04 7845496
0.54 12.09 7850708
0.54 12.14 7855684
0.54 12.19 7860936
0.54 12.24 7865996
0.54 12.29 7871156
0.54 12.35 7876108
0.54 12.40 7881348
0.54 12.46 7886588
0.54 12.52 7891508
0.55 6.29 7896736
0.55 12.63 7901772
0.55 12.69 7906940
0.55 12.75 7912004
0.55 12.80 7917164
0.55 12.86 7922424
0.55 12.91 7927372
0.55 12.95 7932636
0.55 12.99 7937616
0.55 13.02 7942864
0.55 13.04 7947900
0.55 13.06 7953172
0.55 13.06 7958068
0.55 13.06 7963228
0.55 13.06 7968200
0.55 13.03 7973460
0.55 13.00 7978716
0.54 12.97 7983700
0.54 12.93 7988952
0.54 12.88 7993984
0.53 12.83 7999268
0.52 12.79 8004552
0.52 12.73 8009520
0.52 12.68 8014748
0.51 12.63 8019744
0.51 12.57 8024972
0.51 12.52 8030032
0.51 12.46 8035288
0.51 12.41 8040288
0.50 12.36 8045536
0.50 12.31 8050776
0.50 12.26 8055772
0.49 12.21 8061040
0.48 12.16 8066096
0.48 12.11 8071356
0.47 12.07 8076348
0.46 12.02 8081608
0.46 11.98 8086856
0.45 11.93 8091848
0.44 11.89 8097112
0.42 11.85 8102172
0.41 11.81 8107324
0.40 11.77 8112320
0.39 11.73 8117480
0.38 11.69 8122436
0.37 11.65 8127692
0.35 11.61 8132948
0.34 11.58 8137932
0.32 11.54 8143172
0.30 11.50 8148232
0.29 11.46 8153488
0.27 11.43 8158484
0.25 11.39 8163740
0.23 11.36 8168988
0.22 11.32 8173988
0.20 11.29 8179240
0.19 11.25 8184292
0.17 11.21 8189536
0.15 11.18 8194552
0.13 11.14 8199700
0.11 11.11 8204932
0.09 11.07 8209860
0.08 11.04 8215164
0.06 11.00 8220160
0.04 10.97 8225304
0.02 10.93 8230348
0.00 10.90 8235488
-0.02 10.87 8240492
-0.03 10.84 8245660
-0.05 10.81 8250912
-0.07 10.79 8255860
-0.08 10.77 8261104
-0.10 10.75 8266104
-0.11 10.74 8271328
-0.13 10.73 8276384
-0.15 10.73 8281544
-0.16 10.74 8286496
-0.17 10.75 8291688
-0.19 10.76 8296628
-0.20 10.77 8301876
-0.22 10.79 8307136
-0.23 10.81 8312132
-0.25 10.83 8317356
-0.26 10.86 8322412
-0.27 10.89 8327572
-0.29 10.92 8332564
-0.30 10.95 8337720
-0.32 10.99 8342996
-0.33 11.02 8347936
-0.35 11.06 8353212
-0.37 11.10 8358196
-0.38 11.13 8363448
-0.40 11.17 8368484
-0.42 11.21 8373640
-0.44 11.24 8378632
-0.46 11.28 8383792
-0.47 11.32 8389048
-0.48 11.35 8393992
-0.49 11.39 8399240
-0.50 11.43 8404248
-0.51 11.46 8409468
-0.52 11.50 8414500
-0.53 11.54 8419660
-0.54 11.58 8424656
-0.55 11.62 8429824
-0.57 11.66 8435092
-0.58 11.70 8440044
-0.59 11.73 8445292
-0.60 11.77 8450284
-0.60 11.81 8455508
-0.61 11.86 8460544
-0.62 11.90 8465792
-0.63 11.95 8471096
-0.63 11.99 8476048
-0.64 12.04 8481304
-0.65 12.09 8486296
-0.65 12.14 8491532
-0.66 12.19 8496560
-0.66 12.24 8501808
-0.67 12.29 8506804
-0.67 12.35 8512076
-0.67 12.40 8517328
-0.68 12.46 8522308
-0.68 12.52 8527564
-0.68 6.30 8532544
-0.68 12.64 8537768
-0.68 12.70 8542756
-0.68 12.77 8547920
-0.68 12.83 8552872
-0.68 12.90 8558124
-0.68 12.96 8563376
-0.68 13.03 8568292
-0.68 13.09 8573580
-0.68 13.16 8578660
-0.68 13.22 8583904
-0.68 13.29 8588896
-0.68 13.35 8594144
-0.68 13.41 8599380
-0.68 13.46 8604300
-0.68 13.52 8609616
-0.68 13.57 8614676
-0.68 13.62 8619936
-0.68 13.67 8625228
-0.68 13.71 8630180
-0.68 13.75 8635412
-0.68 13.78 8640316
-0.68 13.81 8645616
-0.68 13.83 8650576
-0.68 13.84 8655740
-0.68 13.85 8660800
-0.68 13.85 8665984
-0.68 13.85 8671320
-0.68 13.84 8676224
