.54 56934476
-0.03 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
0.55 3.64 4348412
0.55 3.64 4353424
0.55 3.74 4358564
0.55 3.89 4363528
0.55 4.07 4368672
0.55 4.20 4373892
0.55 4.26 4378788
0.55 4.22 4384044
0.55 4.04 4388936
0.55 3.79 4394144
0.55 3.49 4399032
0.54 3.19 4404248
0.54 2.85 4409232
0.53 2.49 4414300
0.52 2.05 4419232
0.52 1.63 4424308
0.51 1.26 4429268
0.51 1.01 4434332
0.50 0.92 4439280
0.50 0.98 4444340
0.49 1.18 4449292
0.48 1.47 4454344
0.47 1.85 4459280
0.46 2.19 4464348
0.44 2.46 4469292
0.43 2.62 4474364
0.41 2.66 4479304
0.39 2.59 4484368
0.37 2.41 4489312
0.35 2.12 4494372
0.32 1.71 4499304
0.30 1.26 4504364
0.27 0.82 4509288
0.23 0.51 4514368
0.20 0.29 4519308
0.16 0.24 4524372
0.14 0.31 4529320
0.11 0.47 4534384
0.09 0.73 4539324
0.07 1.09 4544384
0.06 1.59 4549336
0.03 2.09 4554396
0.00 2.54 4559356
-0.02 2.83 4564428
-0.05 3.02 4569364
-0.08 3.10 4574432
-0.11 3.08 4579460
-0.14 2.98 4584532
-0.17 2.82 4589464
-0.20 2.62 4594532
-0.23 2.38 4599572
-0.26 2.14 4604728
-0.29 1.99 4609736
-0.33 1.98 4614880
-0.37 2.11 4620092
-0.40 2.33 4624876
-0.44 2.60 4630096
-0.47 2.91 4634976
-0.50 3.24 4640260
-0.52 3.60 4645172
-0.55 4.03 4650372
-0.57 4.58 4655272
-0.59 5.11 4660516
-0.61 5.52 4665464
-0.64 5.79 4670536
-0.66 5.88 4675464
-0.69 5.86 4680540
-0.71 5.73 4685572
-0.74 5.55 4690740
-0.76 5.33 4695744
-0.78 5.13 4700876
-0.80 5.03 4705816
-0.81 5.09 4710972
-0.80 5.27 4716196
-0.80 5.52 4721072
-0.80 5.78 4726356
-0.80 6.08 4731248
-0.80 0.09 4736436
-0.80 6.71 4741368
-0.79 7.09 4746564
-0.80 7.54 4751524
-0.79 7.99 4756588
-0.79 8.41 4761548
-0.79 8.75 4766620
-0.78 8.98 4771648
-0.77 9.09 4776720
-0.77 9.12 4781768
-0.76 9.09 4786928
-0.75 9.02 4791920
-0.73 8.96 4797068
-0.72 8.92 4802288
-0.71 8.92 4807164
-0.69 8.97 4812432
-0.68 9.09 4817408
-0.67 9.25 4822644
-0.66 9.47 4827696
-0.65 9.72 4832852
-0.64 10.05 4837912
-0.63 10.48 4843060
-0.62 10.98 4848020
-0.60 11.52 4853276
-0.59 11.88 4858524
-0.57 12.14 4863516
-0.56 12.28 4868756
-0.55 12.30 4873804
-0.54 12.26 4878992
-0.53 12.17 4883992
-0.52 12.05 4889144
-0.51 11.96 4894104
-0.50 11.90 4899348
-0.50 11.91 4904612
-0.49 12.02 4909600
-0.48 12.18 4914844
-0.48 12.39 4919896
-0.47 6.35 4925116
-0.46 12.89 4930136
-0.46 13.24 4935292
-0.45 13.62 4940504
-0.44 14.06 4945444
-0.44 14.44 4950656
-0.43 14.74 4955644
-0.43 14.87 4960884
-0.42 14.88 4965936
-0.42 14.80 4971176
-0.41 14.65 4976196
-0.41 14.47 4981432
-0.40 14.31 4986692
-0.40 14.22 4991676
-0.40 14.23 4996900
-0.40 14.38 5001952
-0.41 14.62 5007216
-0.41 14.88 5012224
-0.41 15.14 5017456
-0.40 15.37 5022696
-0.40 15.59 5027700
