RSION: 0.5.0
Connect: 1
20
0.09 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
20
0.09 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
-0.56 9.52 5433168
-0.56 9.54 5438672
-0.56 9.57 5444412
-0.56 9.59 5450160
-0.56 9.61 5455576
-0.55 9.63 5461428
-0.56 9.66 5467176
-0.56 9.68 5472668
-0.56 9.70 5478416
-0.56 9.73 5484176
-0.56 9.76 5489672
-0.56 9.78 5495420
-0.56 9.81 5501172
-0.55 9.84 5506668
-0.55 9.88 5512424
-0.55 9.91 5518172
-0.56 9.94 5523668
-0.55 9.98 5529412
-0.55 10.01 5535216
-0.55 10.05 5540636
-0.55 10.09 5546484
-0.55 10.14 5552372
-0.55 10.19 5558228
-0.55 10.25 5563744
-0.55 10.30 5569548
-0.55 10.35 5575512
-0.55 10.42 5581424
-0.55 10.48 5587288
-0.55 10.54 5592716
-0.55 10.61 5598556
-0.55 10.69 5604444
-0.55 10.75 5610308
-0.55 10.83 5615728
-0.55 10.91 5621576
-0.55 10.98 5627468
-0.55 11.07 5633336
-0.54 11.15 5638848
-0.54 11.23 5644664
-0.54 11.31 5650628
-0.54 11.39 5656524
-0.54 11.46 5662384
-0.54 11.54 5668308
-0.53 11.61 5673900
-0.53 11.68 5679720
-0.53 11.75 5685672
-0.52 11.80 5691560
-0.52 11.86 5697428
-0.52 11.91 5702944
-0.51 11.95 5708756
-0.51 12.00 5714716
-0.51 12.05 5720632
-0.50 12.09 5726496
-0.50 12.13 5732012
-0.50 12.17 5737920
-0.49 12.19 5743820
-0.49 12.22 5749784
-0.49 12.25 5755672
-0.48 12.28 5761536
-0.48 12.31 5767052
-0.48 12.33 5772880
-0.47 12.34 5778824
-0.47 12.36 5784720
-0.47 12.38 5790580
-0.46 12.40 5796104
-0.46 12.41 5801920
-0.46 12.43 5807880
-0.45 12.45 5813796
-0.45 12.46 5819632
-0.45 12.47 5825564
-0.45 12.48 5831136
-0.45 12.49 5836948
-0.45 12.50 5842896
-0.45 12.51 5848816
-0.45 12.52 5854672
-0.44 12.53 5860592
-0.44 12.55 5866088
-0.45 12.56 5871944
-0.45 12.57 5877844
-0.45 12.58 5883664
-0.45 12.60 5889088
-0.44 12.61 5894928
-0.44 12.62 5900832
-0.45 12.64 5906688
-0.44 12.66 5912196
-0.45 12.68 5918012
-0.45 12.71 5923980
-0.44 12.73 5929872
-0.44 12.75 5935732
-0.44 12.77 5941152
-0.44 12.80 5947004
-0.44 12.83 5952916
-0.44 12.86 5958748
-0.44 12.88 5964168
-0.44 12.91 5970016
-0.44 12.94 5975908
-0.44 12.98 5981784
-0.44 13.01 5987692
-0.44 13.04 5993284
-0.44 13.08 5999108
-0.44 13.12 6005052
-0.44 13.16 6010952
-0.44 13.21 6016792
-0.44 13.26 6022716
-0.43 13.30 6028304
-0.43 13.35 6034124
-0.43 13.40 6040072
-0.42 13.46 6045980
-0.42 13.51 6051812
-0.42 13.58 6057724
-0.41 13.64 6063320
-0.41 13.71 6069132
-0.40 13.78 6075112
-0.40 13.85 6081020
-0.39 13.93 6086876
-0.39 14.00 6092376
-0.38 14.08 6098196
-0.38 14.17 6104168
-0.37 14.25 6110056
-0.37 14.34 6115916
-0.36 14.41 6121424
-0.36 14.49 6127252
-0.35 14.57 6133220
-0.35 14.65 6139100
-0.34 14.72 6144972
-0.34 14.79 6150488
-0.33 14.85 6156304
-0.33 14.92 6162260
-0.33 14.98 6168168
-0.32 15.03 6174028
-0.32 15.09 6179540
-0.32 15.13 6185360
-0.31 15.17 6191336
-0.31 15.21 6197236
-0.31 15.25 6203104
-0.31 15.28 6209096
-0.31 15.31 6214612
-0.31 15.34 6220436
-0.30 15.36 6226404
-0.30 15.38 6232292
-0.30 15.40 6238156
-0.30 15.41 6243588
-0.30 15.42 6249424
-0.30 15.43 6255328
-0.30 15.43 6261184
-0.30 15.43 6266696
-0.30 15.44 6272644
-0.30 15.43 6278496
-0.30 15.43 6284384
-0.30 15.43 6290244
-0.30 15.43 6295752
-0.30 15.42 6301568
-0.30 15.41 6307548
-0.30 15.41 6313456
-0.30 15.40 6319292
-0.30 15.39 6325204
-0.30 15.39 6330696
-0.30 15.38 6336556
-0.30 15.38 6342444
-0.30 15.37 6348292
-0.30 15.37 6354208
-0.30 15.36 6359704
-0.30 15.36 6365548
-0.30 15.36 6371444
-0.30 15.37 6377312
-0.30 15.37 6382824
-0.30 15.38 6388628
-0.30 15.38 6394612
-0.30 15.39 6400516
-0.30 15.40 6406372
-0.29 15.41 6411880
-0.29 15.42 6417700
-0.29 15.43 6423664
-0.29 15.44 6429552
-0.29 15.46 6435416
-0.28 15.47 6440924
-0.28 15.49 6446744
-0.28 15.51 6452712
-0.27 15.53 6458604
-0.27 15.55 6464464
-0.27 15.58 6469984
-0.27 15.60 6475804
-0.26 15.63 6481672
-0.26 15.65 6487532
-0.25 15.68 6493048
-0.25 15.70 6498868
-0.25 15.73 6504844
-0.24 15.76 6510736
-0.24 15.79 6516592
-0.23 15.82 6522116
-0.23 15.85 6528052
-0.22 15.87 6533936
-0.22 15.91 6539924
-0.21 15.94 6545828
-0.21 15.97 6551684
-0.21 16.00 6557180
-0.20 16.03 6563000
-0.20 16.07 6568956
-0.19 16.11 6574860
-0.19 16.14 6580720
-0.19 16.18 6586232
-0.18 16.22 6592060
-0.18 16.25 6598000
-0.18 16.29 6603904
-0.17 16.34 6609752
-0.17 16.39 6615268
-0.17 16.43 6621072
-0.17 16.49 6627056
